has_projects,has_issues,has_wiki,has_downloads,has_pages,size,open_issues_count,stargazers_count
1.0,1.0,1.0,1.0,0.0,0.0072061177,0.00535523,51364.0
1.0,1.0,0.0,1.0,0.0,0.12719893,0.07009402,61837.0
1.0,1.0,0.0,1.0,0.0,0.27414307,0.028144712,50260.0
1.0,1.0,0.0,1.0,0.0,0.018143516,0.002975128,65984.0
1.0,1.0,0.0,1.0,0.0,0.19555607,0.4348447,55163.0
0.0,1.0,0.0,1.0,0.0,0.002449676,0.001487564,55358.0
1.0,1.0,1.0,1.0,1.0,0.22550301,0.10567655,95391.0
1.0,1.0,0.0,1.0,0.0,0.0006264194,0.011603,89151.0
0.0,1.0,0.0,1.0,1.0,0.00023869422,0.0030346303,161130.0
0.0,1.0,0.0,1.0,1.0,0.00023869422,0.0030346303,161130.0
